Holding,Weigth,"One, PRINC R&SF",B RMF,KF RMF,KF-NDQ RMF,KFUSIND RMF,KFSET50 SSF(DY),SCBNDQ SSF(DY),SCB-Semi SSF(DY),SCBSET50 SSF(DY),THB,Port Total,Currency,Year,LTF,RMF (30%),SSF (30%),Tax Saving,,BNB + Bull,Common Stock,กรุงศรี,Finnomena,Capital,,,,History,Capital,Balance,Total Gain,Remark
# กลยุทธ์การลงทุนเชิงรับ,,,,,,,,,,,,,,# นักล่า นักTrap นักฟาร์ม,,,,,,,,,,,,,,,,,,
"ขนาดของบริษัทใหญ่เพียงพอ (ทรัพย์สิน, ยอดขาย)",,,,,,,,,,,,,,## คนส่วนใหญ่คำนวนมากเกินไป และคิดน้อยเกินไป (ชาร์ลี มังเกอร์),,,,,,,,,,,,,,,,,,
ฐานะทางการเงินแข็งแกร่งเพียงพอ (ทรัพย์สินหมุนเวียนสูงกว่าหนี้สินหมุนเวียน),,,,,,,,,,,,,,## ซื้อตอนที่ทุกคนเจ็บปวด แล้วคุณจะไม่เจ็บปวด,,,,,,,,,,,,,,,,,,
เสถียรภาพของผลกำไร (ในช่วงสิบปีที่ผ่านมา),,,,,,,,,,,,,,## หุ้นถูก หุ้นวัฏจักรมักจะล่อตาล่อใจ แต่ถ้าเราไม่เข้าใจ ก็ไม่ต้องสนใจ,,,,,,,,,,,,,,,,,,
ประวัติการจ่ายปันผลต่อเนื่อง,,,,,,,,,,,,,,## ให้ระวัง multiple หุ้นอาจโตดีเหมือนเดิม แต่ multiple ลดอย่างหนัก อย่าการ์ดตก,,,,,,,,,,,,,,,,,,
การเติบโตของผลกำไร,,,,,,,,,,,,,,## ในวิกฤติ อย่าปิดจอ ให้รับความจริงแล้วหาโอกาส,,,,,,,,,,,,,,,,,,
P/E ไม่สูงเกินไป (15 เท่าของผลกำไรเฉลี่ยในช่วงสามปีที่ผ่านมา),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/B ไม่สูงเกินไป (ไม่เกิน 1¹/2 ของ Book per share ยกเว้น P/E ต่ำ >>15*1.5 = 22.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### การคิด PE จากดอกเบี้ย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ดอกเบี้ยหุ้นกู้อายุ 10ปี เครดิต AA = 4.4% >> 100/4.6 จะได้ PE สูงสุด 21.7 เท่า คิดส่วนลด 20% เท่ากับ 17.3 เท่า**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# การเลือกหุ้นสำหรับนักลงทุนเชิงรุก,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
การเลือกหุ้น PE ต่ำ มีกฎเกณฑ์เพิ่มดังนี้,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ฐานะทางการเงิน : สินทรัพย์หมุนเวียน 150% ของ หนี้สินหมุนเวียน. หนี้สินไม่เกิน 110% ของสินทรัพย์หมุนเวียน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เสถียรภาพของกำไร : ไม่มีผลขาดทุนในช่วง 5 ปีหลังสุด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ประวัติการจ่ายผล : มีการจ่ายปันผลในปัจจุบัน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
การเติบโตของกำไร : ผลกำไรสูงกว่าปีก่อนหน้า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ราคา : ต่ำกว่า 120% ของสินทรัพย์มีตัวตนสุทธิ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Margin of safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ความสามารถในการทำกำไร (E/P) เหนือกว่าดอกเบี้ยจ่าย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
การจัดพอร์ตหุ้นตามวัฏจักรเศรษฐกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. ช่วงเศรษฐกิจขยายตัว (Expansion) และ การจัดพอร์ตหุ้นในช่วงเศรษฐกิจขยายตัว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
